date,home,region,city
2012-08-26,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-27,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-28,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-29,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-30,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-31,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-01,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-02,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-03,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-04,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-05,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-06,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-07,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-08,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-09,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-10,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-11,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-12,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-13,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-14,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-15,"Skopje, MK",Greece,"Thessaloniki, Greece"
2012-09-16,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-17,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-18,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-19,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-20,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-21,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-22,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-09-23,"Skopje, MK",Kosovo,"Pristina, Kosovo"
